date,c,d,act,out,pol1,pol2,pol3
2020-01-01,0.0,0.0,1.0,0.4568886850621337,0.0,0.0,0.0
2020-01-02,0.0,0.0,1.0,1.0516410046628117,0.0,0.0,0.0
2020-01-03,0.0,0.0,1.0,1.1569192920875475,0.0,0.0,0.0
2020-01-04,0.0,0.0,1.0,0.9348763188686063,0.0,0.0,0.0
2020-01-05,0.0,0.0,1.0,0.6473917094400584,0.0,0.0,0.0
2020-01-06,0.0,0.0,1.0,0.9768649991465056,0.0,0.0,0.0
2020-01-07,0.0,0.0,1.0513866262478984,1.0565891981103144,0.0,0.0,0.0
2020-01-08,0.0,0.0,1.1008427133279128,1.0842529128723,0.0,0.0,0.0
2020-01-09,0.0,0.0,1.1251219497325875,1.1167572628309892,0.0,0.0,0.0
2020-01-10,0.0,0.0,1.217949112907397,1.1718832863958117,0.0,0.0,0.0
2020-01-11,0.0,0.0,1.0716954596718344,0.9257321776621623,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.8842510166250712,0.6522210453866525,0.0,0.0,0.0
2020-01-13,0.0,0.0,1.0171236478658892,0.9759697493702557,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.9705691028046546,1.0515601168319704,0.0,0.0,0.0
2020-01-15,0.0,0.0,1.1295039358132606,1.0826685945195003,0.0,0.0,0.0
2020-01-16,0.0,0.0,1.0923215179033081,1.1137625628153525,0.0,0.0,0.0
2020-01-17,0.0,0.0,1.114108362802214,1.157470928137084,0.0,0.0,0.0
2020-01-18,0.0,0.0,1.1011010883334618,0.9359524549891033,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.9250345133136401,0.666297455694929,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.9919576597709472,0.9338620331886724,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.9824062254582209,1.051649354798396,0.0,0.0,0.0
2020-01-22,3.3468100897060164e-09,0.0,1.0812492228775648,1.0762207119283524,0.0,0.0,0.0
2020-01-23,3.3468100897060164e-09,0.0,1.0226714684795577,1.110386633787382,0.0,0.0,0.0
2020-01-24,3.3468100897060164e-09,0.0,1.2012508079658593,1.1798765894720067,0.0,0.0,0.0
2020-01-25,6.693620179412033e-09,0.0,0.9788270638516597,0.964517613726473,0.0,0.0,0.0
2020-01-26,1.0040430269118051e-08,0.0,0.8320277936600892,0.6659365979454109,0.0,0.0,0.0
2020-01-27,1.6734050448530087e-08,0.0,1.0544350611304651,0.9729516560096623,0.0,0.0,0.0
2020-01-28,1.6734050448530087e-08,0.0,0.9501137535381763,1.0524570125955248,0.0,0.0,0.0
2020-01-29,1.6734050448530087e-08,0.0,0.9799148092428756,1.0819228915110128,0.0,0.0,0.0
2020-01-30,2.0080860538236103e-08,0.0,1.0400789489248903,1.1174838370940565,0.0,0.0,0.0
2020-01-31,2.0080860538236103e-08,0.0,1.236531267328581,1.1878874315759655,0.0,0.0,0.0
2020-02-01,2.342767062794212e-08,0.0,1.071563671860807,0.9688789143434009,0.0,0.0,0.0
2020-02-02,2.6774480717648135e-08,0.0,0.7485376717598836,0.6504184829304072,0.0,0.0,0.0
2020-02-03,3.3468100897060173e-08,0.0,0.9574069642497237,0.9538017259974158,0.0,0.0,0.0
2020-02-04,3.3468100897060173e-08,0.0,0.9057319061549314,1.048626903702696,0.0,0.0,0.0
2020-02-05,3.3468100897060173e-08,0.0,0.8928869059897188,1.0543682488249149,0.0,0.0,0.0
2020-02-06,3.681491098676619e-08,0.0,0.9040079422291077,1.081265925178572,0.0,0.0,0.0
2020-02-07,3.681491098676619e-08,0.0,1.0518539560391404,1.1525923383128873,0.0,0.0,0.0
2020-02-08,3.681491098676619e-08,0.0,1.0718599061175775,0.960126406526987,0.0,0.0,0.0
2020-02-09,3.681491098676619e-08,0.0,0.8057635717587239,0.6635635889865501,0.0,0.0,0.0
2020-02-10,3.681491098676619e-08,0.0,0.9459949312516588,0.9617270768799396,0.0,0.0,0.0
2020-02-11,4.016172107647221e-08,0.0,0.9173916689439241,1.0469590972354665,0.0,0.0,0.0
2020-02-12,4.016172107647221e-08,0.0,0.9548148823512265,1.0759410063050845,0.0,0.0,0.0
2020-02-13,4.6855341255884244e-08,0.0,0.9771557377967555,1.118138117821151,0.0,0.0,0.0
2020-02-14,4.6855341255884244e-08,0.0,1.138812967449386,1.217502019206613,0.0,0.0,0.0
2020-02-15,4.6855341255884244e-08,0.0,1.023077725397884,0.9734691825664834,0.0,0.0,0.0
2020-02-16,4.6855341255884244e-08,0.0,0.830596367699152,0.674607742351282,0.0,0.0,0.0
2020-02-17,4.6855341255884244e-08,0.0,0.8876003173426292,0.9377311046681875,0.0,0.0,0.0
2020-02-18,8.032344215294442e-08,0.0,0.8734647988888209,1.0420754067821043,0.0,0.0,0.0
2020-02-19,8.032344215294442e-08,0.0,0.9320402420510925,1.0760366660390377,0.0,0.0,0.0
2020-02-20,8.367025224265044e-08,0.0,1.0003199239277147,1.0960628399994312,0.0,0.0,0.0
2020-02-21,9.371068251176849e-08,0.0,1.0627732295703403,1.1789453588398602,0.0,0.0,0.0
2020-02-22,9.705749260147449e-08,0.0,1.037664052639138,0.9750978147325219,0.0,0.0,0.0
2020-02-23,9.705749260147449e-08,0.0,0.8265865980161062,0.6729608437511866,0.0,0.0,0.0
2020-02-24,1.2383197331912258e-07,0.0,0.9558566947220487,0.9684446989310161,0.0,0.0,0.0
2020-02-25,1.439128338573587e-07,0.0,0.736922656362291,1.051439780123546,0.0,0.0,0.0
